,City,Country,Lat,Lng,Max Temp (F),Cloudiness (%),Humidity (%),Wind Speed (mph),Data Retrieved Time
160,Esperance,AU,-33.86,121.89,50,90,87,12.75,12:34:14 Jun/27/2019 (Thu)
161,Umm Lajj,SA,25.02,37.27,87.97,0,59,14.85,12:40:41 Jun/27/2019 (Thu)
162,Progreso,UY,-34.68,-56.22,57,0,47,11.41,12:40:41 Jun/27/2019 (Thu)
163,Sioux Lookout,CA,50.1,-91.92,73.4,75,46,5.82,12:35:11 Jun/27/2019 (Thu)
164,Ano Mera,GR,37.45,25.4,84,0,51,26.4,12:40:41 Jun/27/2019 (Thu)
165,Beyneu,KZ,45.32,55.19,81.31,17,19,9.98,12:40:41 Jun/27/2019 (Thu)
166,Surgut,RU,61.25,73.4,50,40,93,8.95,12:40:41 Jun/27/2019 (Thu)
167,Katobu,ID,-4.94,122.53,69.79,0,89,4.03,12:40:42 Jun/27/2019 (Thu)
168,Uyuni,BO,-20.46,-66.82,46.39,46,15,18.37,12:34:16 Jun/27/2019 (Thu)
169,Black River,JM,18.03,-77.85,89.6,20,66,14.99,12:40:42 Jun/27/2019 (Thu)
170,Belaya Gora,RU,68.54,146.19,58.09,27,44,7.61,12:40:42 Jun/27/2019 (Thu)
171,Zhirnovsk,RU,50.98,44.78,66.91,94,66,7.81,12:40:42 Jun/27/2019 (Thu)
172,San Patricio,PY,-26.98,-56.83,68.17,0,69,7.99,12:34:51 Jun/27/2019 (Thu)
173,Mitsamiouli,KM,-11.38,43.28,77,20,78,13.87,12:34:53 Jun/27/2019 (Thu)
174,Carauari,BR,-4.88,-66.9,91.57,4,47,4.36,12:39:59 Jun/27/2019 (Thu)
175,Kapaa,US,22.08,-159.32,78.8,1,83,12.75,12:34:10 Jun/27/2019 (Thu)
176,Inhambane,MZ,-23.87,35.38,68,75,94,1.97,12:35:11 Jun/27/2019 (Thu)
177,Igarka,RU,67.47,86.57,43.33,100,91,8.12,12:40:42 Jun/27/2019 (Thu)
178,Marquette,US,46.54,-87.4,82.99,5,39,8.05,12:40:42 Jun/27/2019 (Thu)
179,Arequipa,PE,-16.4,-71.54,69.8,0,9,5.82,12:40:04 Jun/27/2019 (Thu)
180,Saint Anthony,US,43.97,-111.68,71.6,1,37,11.41,12:35:13 Jun/27/2019 (Thu)
181,Ostrovnoy,RU,68.05,39.51,43.33,100,96,10.02,12:34:18 Jun/27/2019 (Thu)
